Winner,Loser,stat_diff
[1 'bulbasaur' 'grass' 'poison' 45 49 49 65 65 45 318 False],[1 'bulbasaur' 'grass' 'poison' 45 49 49 65 65 45 318 False],0
[2 'ivysaur' 'grass' 'poison' 60 62 63 80 80 60 405 False],[1 'bulbasaur' 'grass' 'poison' 45 49 49 65 65 45 318 False],87
[3 'venusaur' 'grass' 'poison' 80 82 83 100 100 80 525 False],[1 'bulbasaur' 'grass' 'poison' 45 49 49 65 65 45 318 False],207
[1 'bulbasaur' 'grass' 'poison' 45 49 49 65 65 45 318 False],[4 'charmander' 'fire' nan 39 52 43 60 50 65 309 False],9
[5 'charmeleon' 'fire' nan 58 64 58 80 65 80 405 False],[1 'bulbasaur' 'grass' 'poison' 45 49 49 65 65 45 318 False],87
[6 'charizard' 'fire' 'flying' 78 84 78 109 85 100 534 False],[1 'bulbasaur' 'grass' 'poison' 45 49 49 65 65 45 318 False],216
[1 'bulbasaur' 'grass' 'poison' 45 49 49 65 65 45 318 False],[7 'squirtle' 'water' nan 44 48 65 50 64 43 314 False],4
[8 'wartortle' 'water' nan 59 63 80 65 80 58 405 False],[1 'bulbasaur' 'grass' 'poison' 45 49 49 65 65 45 318 False],87
[9 'blastoise' 'water' nan 79 83 100 85 105 78 530 False],[1 'bulbasaur' 'grass' 'poison' 45 49 49 65 65 45 318 False],212
[1 'bulbasaur' 'grass' 'poison' 45 49 49 65 65 45 318 False],[10 'caterpie' 'bug' nan 45 30 35 20 20 45 195 False],123
[1 'bulbasaur' 'grass' 'poison' 45 49 49 65 65 45 318 False],[11 'metapod' 'bug' nan 50 20 55 25 25 30 205 False],113
[12 'butterfree' 'bug' 'flying' 60 45 50 90 80 70 395 False],[1 'bulbasaur' 'grass' 'poison' 45 49 49 65 65 45 318 False],77
[1 'bulbasaur' 'grass' 'poison' 45 49 49 65 65 45 318 False],[13 'weedle' 'bug' 'poison' 40 35 30 20 20 50 195 False],123
[1 'bulbasaur' 'grass' 'poison' 45 49 49 65 65 45 318 False],[14 'kakuna' 'bug' 'poison' 45 25 50 25 25 35 205 False],113
[15 'beedrill' 'bug' 'poison' 65 90 40 45 80 75 395 False],[1 'bulbasaur' 'grass' 'poison' 45 49 49 65 65 45 318 False],77
[1 'bulbasaur' 'grass' 'poison' 45 49 49 65 65 45 318 False],[16 'pidgey' 'normal' 'flying' 40 45 40 35 35 56 251 False],67
[17 'pidgeotto' 'normal' 'flying' 63 60 55 50 50 71 349 False],[1 'bulbasaur' 'grass' 'poison' 45 49 49 65 65 45 318 False],31
[18 'pidgeot' 'normal' 'flying' 83 80 75 70 70 101 479 False],[1 'bulbasaur' 'grass' 'poison' 45 49 49 65 65 45 318 False],161
[1 'bulbasaur' 'grass' 'poison' 45 49 49 65 65 45 318 False],[19 'rattata' 'normal' nan 30 56 35 25 35 72 253 False],65
[20 'raticate' 'normal' nan 55 81 60 50 70 97 413 False],[1 'bulbasaur' 'grass' 'poison' 45 49 49 65 65 45 318 False],95
[1 'bulbasaur' 'grass' 'poison' 45 49 49 65 65 45 318 False],[21 'spearow' 'normal' 'flying' 40 60 30 31 31 70 262 False],56
[22 'fearow' 'normal' 'flying' 65 90 65 61 61 100 442 False],[1 'bulbasaur' 'grass' 'poison' 45 49 49 65 65 45 318 False],124
[1 'bulbasaur' 'grass' 'poison' 45 49 49 65 65 45 318 False],[23 'ekans' 'poison' nan 35 60 44 40 54 55 288 False],30
[24 'arbok' 'poison' nan 60 95 69 65 79 80 448 False],[1 'bulbasaur' 'grass' 'poison' 45 49 49 65 65 45 318 False],130
[25 'pikachu' 'electric' nan 35 55 40 50 50 90 320 False],[1 'bulbasaur' 'grass' 'poison' 45 49 49 65 65 45 318 False],2
[26 'raichu' 'electric' nan 60 90 55 90 80 110 485 False],[1 'bulbasaur' 'grass' 'poison' 45 49 49 65 65 45 318 False],167
[1 'bulbasaur' 'grass' 'poison' 45 49 49 65 65 45 318 False],[27 'sandshrew' 'ground' nan 50 75 85 20 30 40 300 False],18
[28 'sandslash' 'ground' nan 75 100 110 45 55 65 450 False],[1 'bulbasaur' 'grass' 'poison' 45 49 49 65 65 45 318 False],132
[1 'bulbasaur' 'grass' 'poison' 45 49 49 65 65 45 318 False],[29 'nidoran-f' 'poison' nan 55 47 52 40 40 41 275 False],43
[30 'nidorina' 'poison' nan 70 62 67 55 55 56 365 False],[1 'bulbasaur' 'grass' 'poison' 45 49 49 65 65 45 318 False],47
[31 'nidoqueen' 'poison' 'ground' 90 92 87 75 85 76 505 False],[1 'bulbasaur' 'grass' 'poison' 45 49 49 65 65 45 318 False],187
[1 'bulbasaur' 'grass' 'poison' 45 49 49 65 65 45 318 False],[32 'nidoran-m' 'poison' nan 46 57 40 40 40 50 273 False],45
[33 'nidorino' 'poison' nan 61 72 57 55 55 65 365 False],[1 'bulbasaur' 'grass' 'poison' 45 49 49 65 65 45 318 False],47
[34 'nidoking' 'poison' 'ground' 81 102 77 85 75 85 505 False],[1 'bulbasaur' 'grass' 'poison' 45 49 49 65 65 45 318 False],187
[35 'clefairy' 'fairy' nan 70 45 48 60 65 35 323 False],[1 'bulbasaur' 'grass' 'poison' 45 49 49 65 65 45 318 False],5
[36 'clefable' 'fairy' nan 95 70 73 95 90 60 483 False],[1 'bulbasaur' 'grass' 'poison' 45 49 49 65 65 45 318 False],165
[1 'bulbasaur' 'grass' 'poison' 45 49 49 65 65 45 318 False],[37 'vulpix' 'fire' nan 38 41 40 50 65 65 299 False],19
[38 'ninetales' 'fire' nan 73 76 75 81 100 100 505 False],[1 'bulbasaur' 'grass' 'poison' 45 49 49 65 65 45 318 False],187
[1 'bulbasaur' 'grass' 'poison' 45 49 49 65 65 45 318 False],[39 'jigglypuff' 'normal' 'fairy' 115 45 20 45 25 20 270 False],48
[40 'wigglytuff' 'normal' 'fairy' 140 70 45 85 50 45 435 False],[1 'bulbasaur' 'grass' 'poison' 45 49 49 65 65 45 318 False],117
[1 'bulbasaur' 'grass' 'poison' 45 49 49 65 65 45 318 False],[41 'zubat' 'poison' 'flying' 40 45 35 30 40 55 245 False],73
[42 'golbat' 'poison' 'flying' 75 80 70 65 75 90 455 False],[1 'bulbasaur' 'grass' 'poison' 45 49 49 65 65 45 318 False],137
[43 'oddish' 'grass' 'poison' 45 50 55 75 65 30 320 False],[1 'bulbasaur' 'grass' 'poison' 45 49 49 65 65 45 318 False],2
[44 'gloom' 'grass' 'poison' 60 65 70 85 75 40 395 False],[1 'bulbasaur' 'grass' 'poison' 45 49 49 65 65 45 318 False],77
[45 'vileplume' 'grass' 'poison' 75 80 85 110 90 50 490 False],[1 'bulbasaur' 'grass' 'poison' 45 49 49 65 65 45 318 False],172
[1 'bulbasaur' 'grass' 'poison' 45 49 49 65 65 45 318 False],[46 'paras' 'bug' 'grass' 35 70 55 45 55 25 285 False],33
[47 'parasect' 'bug' 'grass' 60 95 80 60 80 30 405 False],[1 'bulbasaur' 'grass' 'poison' 45 49 49 65 65 45 318 False],87
