Did_Poke1_Win,Poke_1_HP,Poke_1_Attack,Poke_1_Defense,Poke_1_Sp_Attack,Poke_1_Sp_Defense,Poke_1_Speed,Poke_1_Type_1,Poke_1_Type_2,Poke_2_HP,Poke_2_Attack,Poke_2_Defense,Poke_2_Sp_Attack,Poke_2_Sp_Defense,Poke_2_Speed,Poke_1_Type_1,Poke_2_Type_2
1,106,110,90,154,90,130,psychic,noType,100,100,100,100,100,100,psychic,noType
0,91,134,95,100,100,80,dragon,flying,100,100,100,100,100,100,psychic,noType
0,91,134,95,100,100,80,dragon,flying,106,110,90,154,90,130,psychic,noType
0,61,84,65,70,70,70,dragon,noType,100,100,100,100,100,100,psychic,noType
0,61,84,65,70,70,70,dragon,noType,106,110,90,154,90,130,psychic,noType
0,61,84,65,70,70,70,dragon,noType,91,134,95,100,100,80,dragon,flying
0,41,64,45,50,50,50,dragon,noType,100,100,100,100,100,100,psychic,noType
0,41,64,45,50,50,50,dragon,noType,106,110,90,154,90,130,psychic,noType
0,41,64,45,50,50,50,dragon,noType,91,134,95,100,100,80,dragon,flying
0,41,64,45,50,50,50,dragon,noType,61,84,65,70,70,70,dragon,noType
0,90,100,90,125,85,90,fire,flying,100,100,100,100,100,100,psychic,noType
0,90,100,90,125,85,90,fire,flying,106,110,90,154,90,130,psychic,noType
0,90,100,90,125,85,90,fire,flying,91,134,95,100,100,80,dragon,flying
1,90,100,90,125,85,90,fire,flying,61,84,65,70,70,70,dragon,noType
1,90,100,90,125,85,90,fire,flying,41,64,45,50,50,50,dragon,noType
0,90,90,85,125,90,100,electric,flying,100,100,100,100,100,100,psychic,noType
0,90,90,85,125,90,100,electric,flying,106,110,90,154,90,130,psychic,noType
0,90,90,85,125,90,100,electric,flying,91,134,95,100,100,80,dragon,flying
1,90,90,85,125,90,100,electric,flying,61,84,65,70,70,70,dragon,noType
1,90,90,85,125,90,100,electric,flying,41,64,45,50,50,50,dragon,noType
1,90,90,85,125,90,100,electric,flying,90,100,90,125,85,90,fire,flying
0,90,85,100,95,125,85,ice,flying,100,100,100,100,100,100,psychic,noType
0,90,85,100,95,125,85,ice,flying,106,110,90,154,90,130,psychic,noType
1,90,85,100,95,125,85,ice,flying,91,134,95,100,100,80,dragon,flying
1,90,85,100,95,125,85,ice,flying,61,84,65,70,70,70,dragon,noType
1,90,85,100,95,125,85,ice,flying,41,64,45,50,50,50,dragon,noType
0,90,85,100,95,125,85,ice,flying,90,100,90,125,85,90,fire,flying
0,90,85,100,95,125,85,ice,flying,90,90,85,125,90,100,electric,flying
0,160,110,65,65,110,30,normal,noType,100,100,100,100,100,100,psychic,noType
0,160,110,65,65,110,30,normal,noType,106,110,90,154,90,130,psychic,noType
0,160,110,65,65,110,30,normal,noType,91,134,95,100,100,80,dragon,flying
1,160,110,65,65,110,30,normal,noType,61,84,65,70,70,70,dragon,noType
1,160,110,65,65,110,30,normal,noType,41,64,45,50,50,50,dragon,noType
0,160,110,65,65,110,30,normal,noType,90,100,90,125,85,90,fire,flying
0,160,110,65,65,110,30,normal,noType,90,90,85,125,90,100,electric,flying
0,160,110,65,65,110,30,normal,noType,90,85,100,95,125,85,ice,flying
0,80,105,65,60,75,130,rock,flying,100,100,100,100,100,100,psychic,noType
0,80,105,65,60,75,130,rock,flying,106,110,90,154,90,130,psychic,noType
1,80,105,65,60,75,130,rock,flying,91,134,95,100,100,80,dragon,flying
1,80,105,65,60,75,130,rock,flying,61,84,65,70,70,70,dragon,noType
1,80,105,65,60,75,130,rock,flying,41,64,45,50,50,50,dragon,noType
1,80,105,65,60,75,130,rock,flying,90,100,90,125,85,90,fire,flying
0,80,105,65,60,75,130,rock,flying,90,90,85,125,90,100,electric,flying
1,80,105,65,60,75,130,rock,flying,90,85,100,95,125,85,ice,flying
