Poke_1,Poke_2,Winner
1,2,2
1,3,3
1,4,4
1,5,5
1,6,6
1,7,1
1,8,1
1,9,1
1,10,1
1,11,1
1,12,12
1,13,13
1,14,14
1,15,15
1,16,16
1,17,17
1,18,18
1,19,1
1,20,20
1,21,21
1,22,22
1,23,23
1,24,24
1,25,1
1,26,1
1,27,1
1,28,1
1,29,29
1,30,30
1,31,31
1,32,32
1,33,33
1,34,34
1,35,1
1,36,1
1,37,37
1,38,38
1,39,1
1,40,1
1,41,41
1,42,42
1,43,43
1,44,44
1,45,45
1,46,1
1,47,1
1,48,48
1,49,49
1,50,1
1,51,1
1,52,1
1,53,53
1,54,1
1,55,1
1,56,1
1,57,1
1,58,58
1,59,59
1,60,1
1,61,1
1,62,1
1,63,63
1,64,64
1,65,65
1,66,1
1,67,1
1,68,1
1,69,1
1,70,70
1,71,71
1,72,72
1,73,73
1,74,1
1,75,1
1,76,1
1,77,77
1,78,78
1,79,1
1,80,80
1,81,81
1,82,82
1,83,83
1,84,84
1,85,85
1,86,1
1,87,87
1,88,88
1,89,89
1,90,1
1,91,91
1,92,92
1,93,93
1,94,94
1,95,1
1,96,96
1,97,97
1,98,1
1,99,1
1,100,1
1,101,1
1,102,102
1,103,103
1,104,1
1,105,1
1,106,1
1,107,1
1,108,108
1,109,109
1,110,110
1,111,1
1,112,1
1,113,113
1,114,1
1,115,115
1,116,1
1,117,1
1,118,1
1,119,1
1,120,1
1,121,121
1,122,122
1,123,123
1,124,124
1,125,1
1,126,126
1,127,127
1,128,128
1,129,1
1,130,130
1,131,131
1,132,1
1,133,133
1,134,1
1,135,1
1,136,136
1,137,137
1,138,1
1,139,1
1,140,1
1,141,1
1,142,142
1,143,143
1,144,144
1,145,145
1,146,146
1,147,1
1,148,148
1,149,149
1,150,150
1,151,151
2,1,2
2,3,3
2,4,4
2,5,5
2,6,6
2,7,2
2,8,2
2,9,2
2,10,2
2,11,2
2,12,12
2,13,2
2,14,14
2,15,15
2,16,16
2,17,17
2,18,18
2,19,2
2,20,20
2,21,21
2,22,22
2,23,23
2,24,24
2,25,2
2,26,2
2,27,2
2,28,2
2,29,29
2,30,30
2,31,31
2,32,32
2,33,33
2,34,34
2,35,2
2,36,2
2,37,37
2,38,38
2,39,2
2,40,2
2,41,41
2,42,42
2,43,2
2,44,2
2,45,45
2,46,2
2,47,2
2,48,48
2,49,49
2,50,2
2,51,2
2,52,2
2,53,53
2,54,2
2,55,2
2,56,2
2,57,2
2,58,58
2,59,59
2,60,2
2,61,2
2,62,2
2,63,63
2,64,64
2,65,65
2,66,2
2,67,2
2,68,2
2,69,2
2,70,2
2,71,71
2,72,2
2,73,73
2,74,2
2,75,2
2,76,2
2,77,77
2,78,78
2,79,2
2,80,80
2,81,81
2,82,82
2,83,83
2,84,84
2,85,85
2,86,2
2,87,87
2,88,88
2,89,89
2,90,2
2,91,91
2,92,92
2,93,93
2,94,94
2,95,2
2,96,96
2,97,97
2,98,2
2,99,2
2,100,2
2,101,2
2,102,2
2,103,103
2,104,2
2,105,2
2,106,2
2,107,2
2,108,2
2,109,109
2,110,110
2,111,2
2,112,2
2,113,113
2,114,2
2,115,115
2,116,2
2,117,2
2,118,2
2,119,2
2,120,2
2,121,121
2,122,122
2,123,123
2,124,124
2,125,2
2,126,126
2,127,127
2,128,128
2,129,2
2,130,130
2,131,131
2,132,2
2,133,2
2,134,2
2,135,2
2,136,136
2,137,2
2,138,2
2,139,2
2,140,2
2,141,2
2,142,142
2,143,143
2,144,144
2,145,145
2,146,146
2,147,2
2,148,148
2,149,149
2,150,150
2,151,151
3,1,3
3,2,3
3,4,4
3,5,5
3,6,6
3,7,3
3,8,3
3,9,3
3,10,3
3,11,3
3,12,12
3,13,3
3,14,3
3,15,15
3,16,3
3,17,17
3,18,18
3,19,3
3,20,3
3,21,3
3,22,22
3,23,23
3,24,24
3,25,3
3,26,3
3,27,3
3,28,3
3,29,29
3,30,30
3,31,3
3,32,32
3,33,33
3,34,3
3,35,3
3,36,3
3,37,37
3,38,38
3,39,3
3,40,3
3,41,41
3,42,42
3,43,3
3,44,3
3,45,3
3,46,3
3,47,3
3,48,48
3,49,49
3,50,3
3,51,3
3,52,3
3,53,3
3,54,3
3,55,3
3,56,3
3,57,3
3,58,58
3,59,59
3,60,3
3,61,3
3,62,3
3,63,63
3,64,64
3,65,65
3,66,3
3,67,3
3,68,3
3,69,3
3,70,3
3,71,3
3,72,3
3,73,3
3,74,3
3,75,3
3,76,3
3,77,77
3,78,78
3,79,3
3,80,3
3,81,81
3,82,82
3,83,83
3,84,84
3,85,85
3,86,3
3,87,3
3,88,88
3,89,89
3,90,3
3,91,91
3,92,92
3,93,93
3,94,94
3,95,3
3,96,96
3,97,97
3,98,3
3,99,3
3,100,3
3,101,3
3,102,3
3,103,103
3,104,3
3,105,3
3,106,3
3,107,3
3,108,3
3,109,109
3,110,110
3,111,3
3,112,3
3,113,3
3,114,3
3,115,3
3,116,3
3,117,3
3,118,3
3,119,3
3,120,3
3,121,3
3,122,3
3,123,123
3,124,124
3,125,3
3,126,126
3,127,3
3,128,3
3,129,3
3,130,130
3,131,131
3,132,3
3,133,3
3,134,3
3,135,3
3,136,136
3,137,3
3,138,3
3,139,3
3,140,3
3,141,3
3,142,142
3,143,143
3,144,144
3,145,145
3,146,146
3,147,3
3,148,3
3,149,149
3,150,150
3,151,151
4,1,4
4,2,4
4,3,4
4,5,5
4,6,6
4,7,7
4,8,8
4,9,9
4,10,4
4,11,4
4,12,4
4,13,4
4,14,4
4,15,4
4,16,4
4,17,17
4,18,18
4,19,4
4,20,20
4,21,4
4,22,22
4,23,4
4,24,24
4,25,25
4,26,26
4,27,27
4,28,28
4,29,4
4,30,30
4,31,31
4,32,4
4,33,33
4,34,34
4,35,4
4,36,4
4,37,4
4,38,38
4,39,4
4,40,40
4,41,4
4,42,42
4,43,4
4,44,4
4,45,4
4,46,4
4,47,4
4,48,4
4,49,4
4,50,50
4,51,51
4,52,4
4,53,53
4,54,54
4,55,55
4,56,4
4,57,57
4,58,58
4,59,59
4,60,60
4,61,61
4,62,62
4,63,63
4,64,64
4,65,65
4,66,4
