Did_Poke1_Win,Poke_1_HP,Poke_1_Attack,Poke_1_Defense,Poke_1_Sp_Attack,Poke_1_Sp_Defense,Poke_1_Speed,Poke_2_HP,Poke_2_Attack,Poke_2_Defense,Poke_2_Sp_Attack,Poke_2_Sp_Defense,Poke_2_Speed
1,106,110,90,154,90,130,100,100,100,100,100,100
0,91,134,95,100,100,80,100,100,100,100,100,100
0,91,134,95,100,100,80,106,110,90,154,90,130
0,61,84,65,70,70,70,100,100,100,100,100,100
0,61,84,65,70,70,70,106,110,90,154,90,130
0,61,84,65,70,70,70,91,134,95,100,100,80
0,41,64,45,50,50,50,100,100,100,100,100,100
0,41,64,45,50,50,50,106,110,90,154,90,130
0,41,64,45,50,50,50,91,134,95,100,100,80
0,41,64,45,50,50,50,61,84,65,70,70,70
0,90,100,90,125,85,90,100,100,100,100,100,100
0,90,100,90,125,85,90,106,110,90,154,90,130
0,90,100,90,125,85,90,91,134,95,100,100,80
1,90,100,90,125,85,90,61,84,65,70,70,70
1,90,100,90,125,85,90,41,64,45,50,50,50
0,90,90,85,125,90,100,100,100,100,100,100,100
0,90,90,85,125,90,100,106,110,90,154,90,130
0,90,90,85,125,90,100,91,134,95,100,100,80
1,90,90,85,125,90,100,61,84,65,70,70,70
1,90,90,85,125,90,100,41,64,45,50,50,50
0,90,90,85,125,90,100,90,100,90,125,85,90
0,90,85,100,95,125,85,100,100,100,100,100,100
0,90,85,100,95,125,85,106,110,90,154,90,130
0,90,85,100,95,125,85,91,134,95,100,100,80
1,90,85,100,95,125,85,61,84,65,70,70,70
1,90,85,100,95,125,85,41,64,45,50,50,50
0,90,85,100,95,125,85,90,100,90,125,85,90
0,90,85,100,95,125,85,90,90,85,125,90,100
0,160,110,65,65,110,30,100,100,100,100,100,100
0,160,110,65,65,110,30,106,110,90,154,90,130
0,160,110,65,65,110,30,91,134,95,100,100,80
1,160,110,65,65,110,30,61,84,65,70,70,70
1,160,110,65,65,110,30,41,64,45,50,50,50
0,160,110,65,65,110,30,90,100,90,125,85,90
0,160,110,65,65,110,30,90,90,85,125,90,100
0,160,110,65,65,110,30,90,85,100,95,125,85
0,80,105,65,60,75,130,100,100,100,100,100,100
0,80,105,65,60,75,130,106,110,90,154,90,130
0,80,105,65,60,75,130,91,134,95,100,100,80
1,80,105,65,60,75,130,61,84,65,70,70,70
1,80,105,65,60,75,130,41,64,45,50,50,50
0,80,105,65,60,75,130,90,100,90,125,85,90
0,80,105,65,60,75,130,90,90,85,125,90,100
0,80,105,65,60,75,130,90,85,100,95,125,85
0,80,105,65,60,75,130,160,110,65,65,110,30
0,60,115,105,65,70,80,100,100,100,100,100,100
0,60,115,105,65,70,80,106,110,90,154,90,130
0,60,115,105,65,70,80,91,134,95,100,100,80
1,60,115,105,65,70,80,61,84,65,70,70,70
1,60,115,105,65,70,80,41,64,45,50,50,50
0,60,115,105,65,70,80,90,100,90,125,85,90
0,60,115,105,65,70,80,90,90,85,125,90,100
0,60,115,105,65,70,80,90,85,100,95,125,85
0,60,115,105,65,70,80,160,110,65,65,110,30
0,60,115,105,65,70,80,80,105,65,60,75,130
0,30,80,90,55,45,55,100,100,100,100,100,100
0,30,80,90,55,45,55,106,110,90,154,90,130
0,30,80,90,55,45,55,91,134,95,100,100,80
0,30,80,90,55,45,55,61,84,65,70,70,70
1,30,80,90,55,45,55,41,64,45,50,50,50
0,30,80,90,55,45,55,90,100,90,125,85,90
0,30,80,90,55,45,55,90,90,85,125,90,100
0,30,80,90,55,45,55,90,85,100,95,125,85
0,30,80,90,55,45,55,160,110,65,65,110,30
0,30,80,90,55,45,55,80,105,65,60,75,130
0,30,80,90,55,45,55,60,115,105,65,70,80
0,70,60,125,115,70,55,100,100,100,100,100,100
0,70,60,125,115,70,55,106,110,90,154,90,130
0,70,60,125,115,70,55,91,134,95,100,100,80
1,70,60,125,115,70,55,61,84,65,70,70,70
1,70,60,125,115,70,55,41,64,45,50,50,50
0,70,60,125,115,70,55,90,100,90,125,85,90
0,70,60,125,115,70,55,90,90,85,125,90,100
