Did_Poke1_Win,Hp_diff,Attack_diff,Defense_diff,Sp_Attack_diff,Sp_Defense_diff,Speed_diff
1,6,10,-10,54,-10,30
0,-9,34,-5,0,0,-20
0,-39,-16,-35,-30,-30,-30
0,-59,-36,-55,-50,-50,-50
0,-10,0,-10,25,-15,-10
0,-10,-10,-15,25,-10,0
0,-10,-15,0,-5,25,-15
0,60,10,-35,-35,10,-70
0,-20,5,-35,-40,-25,30
0,-40,15,5,-35,-30,-20
0,-70,-20,-10,-45,-55,-45
0,-30,-40,25,15,-30,-45
0,-65,-60,0,-10,-45,-65
0,-35,-40,-30,-15,-25,-60
0,-35,30,-40,-5,10,-35
0,-35,-35,-40,10,-5,30
0,30,-35,-40,10,-5,-35
0,-45,-45,-50,-55,-35,-45
0,-52,-52,-52,-52,-52,-52
0,30,-15,-20,-15,-5,-40
0,-5,25,-21,-40,0,-19
0,-80,-90,-45,-85,-80,-20
0,-25,0,-5,-60,-30,10
0,-35,25,0,-45,-30,-15
0,-35,-5,-43,0,-15,-7
0,-35,-17,-43,-5,-15,5
0,-35,-50,-65,15,-5,-5
0,-30,10,-20,-45,-20,5
0,-60,-55,-35,0,20,-10
0,-40,-25,-15,0,-15,15
0,-70,-55,-45,-30,-45,-15
0,-20,-8,-35,-35,-20,-32
0,-55,-33,-40,-65,-50,-37
0,-45,-35,-5,-5,-55,-15
0,-70,-60,-30,-30,-75,-40
0,5,-5,-20,-60,-20,-10
0,-35,-45,15,0,-60,-40
0,150,-95,-95,-65,5,-50
0,5,30,20,-55,-55,-60
0,-20,-15,-5,-70,-70,-75
0,-35,-10,20,-15,-30,-40
0,-60,-35,-5,-40,-55,-65
0,-10,-45,-25,-40,-25,-70
0,-50,5,-21,-65,10,-24
0,-50,20,-47,-65,10,-13
0,-40,-20,10,-50,-20,-55
0,-50,-50,-5,-60,-50,-65
0,-5,-5,-15,25,-25,-45
0,-40,-60,-20,-40,-55,-60
0,-40,-50,-30,-20,-20,50
0,-60,-70,-50,-45,-45,0
0,-45,30,15,-50,-50,-25
0,-70,5,-10,-75,-75,-50
0,-15,-27,-30,-27,15,-33
0,-40,-52,-55,-57,-10,-58
0,-65,-55,60,-70,-55,-30
0,-40,-35,-40,30,-25,10
0,-55,-50,-55,15,-45,-5
0,-70,-65,-70,0,-65,-20
0,-50,-5,80,-15,-55,-30
0,-70,-35,0,-55,-75,-60
0,5,5,-25,-35,0,-50
0,-20,-20,-50,-60,-50,-75
0,-10,-30,-20,-30,-5,-30
0,-35,-55,-45,-55,-30,-55
0,-40,10,-30,-40,-40,10
0,-65,-15,-55,-65,-65,-25
0,-48,-10,-45,-42,-38,-40
0,-50,-40,-5,20,-30,-30
0,-75,-65,-30,-5,-45,-55
0,-5,-25,10,0,-20,-70
0,-10,-35,-35,-60,-60,-85
0,-35,0,-30,-20,-20,5
0,-50,-15,-45,-35,-35,-10
0,-20,20,30,-45,-35,-55
0,-45,-5,15,-55,-55,-65
